Test date	Product name	Brand	Testing for	Result (ppb)
8/22/2017	mustard seed	keshav	arsenic	none found
8/22/2017	turmeric powder	keshav	arsenic	22.4
8/28/2017	taco seasoning	mimi's products	arsenic	197
9/5/2017	sweet paprika	freshly	arsenic	329
8/31/2017	sumac ground	casa blanca	arsenic	65.0
9/6/2017	tumeric powder	peacock brand	arsenic	206
9/11/2017	cayenne paper	brooklyn spice	arsenic	157
9/11/2017	palenque spanish chorizo	brooklyn spice	arsenic	76.5
9/12/2017	menudo mix chile	el chilar	arsenic	206
9/12/2017	clavo molido		arsenic	51.5
9/19/2017	chicken seasoning	clover valley	arsenic	none
9/26/2017	sumac (turkey)	sumac	arsenic	41.1
9/26/2017	sumac turkey (california)	sumac turkey	arsenic	68.2
10/3/2017	ground cinnamon	price chopper	arsenic	20.8
10/3/2017	paprika	price chopper	arsenic	135
10/3/2017	chili powder	morton & bassett	arsenic	52.7
10/3/2017	ground cumin	morton & bassett	arsenic	82.4
10/3/2017	hot smoked paprika	jansal valley	arsenic	188
10/10/2017	tumeric powder		arsenic	20.3
10/17/2017	georgian dry spices	lucky ltd.	arsenic	108
10/24/2017	tumeric powder	cock brand	arsenic	545
11/1/2017	curry en polvo/curry	pepito	arsenic	115
11/3/2017	ground massala	chandradat	arsenic	79.2
11/3/2017	tumeric	indo west indian	arsenic	20.3
11/6/2017	cayenne pepper	finest choice	arsenic	134
11/6/2017	cayenne pepper	finest choice	arsenic	105
11/6/2017	ground tumeric	finest choice	arsenic	none
11/6/2017	ground tumeric	finest choice	arsenic	1940
11/7/2017	red hot pepper	arifoglu	arsenic	101
11/14/2017	curry powder	chief	arsenic	52.5
11/15/2017	hot & spicy duck / goat curry	chief	arsenic	22.1
11/27/2017	pickle masala	swan	arsenic	none
11/30/2017	sesame seeds	la flor	arsenic	31.7
12/11/2017	smoked paprika	chef's select	arsenic	105
12/13/2017	ground turmeric	finest choice	arsenic	914
12/13/2017	paprika	mimi's products	arsenic	27.5
12/18/2017	red hot pepper flakes	arifoglu	arsenic	72.0
12/21/2017	ground paprika	supreme tradition	arsenic	236
1/3/2018	ground tumeric	therbal	arsenic	10.9
1/8/2018	chilly powder extra hot	deer	arsenic	none
1/8/2018	chilli powder red	deer	arsenic	47.9
1/10/2018	white pepper powder	peacock brand	arsenic	23.6
1/10/2018	five spices powder	peacock brand	arsenic	178
1/16/2018	fennel seed	deer	arsenic	25.3
1/25/2018	ground nutmeg	supreme tradition	arsenic	none
1/25/2018	ground cinnamon	supreme tradition	arsenic	179
1/23/2018	curry powder	betapac	arsenic	59.0
1/29/2018	turmeric	double golden fish	arsenic	235
1/30/2018	turmeric powder	moho	arsenic	36.5
2/13/2018	annatto	double golden fish	arsenic	206
2/13/2018	turmeric powder	double golden fish	arsenic	230
2/13/2018	turmeric powder	golden owl	arsenic	238
2/6/2018	sits kebab powder	baj	arsenic	205
2/26/2018	ground paprika	supreme tradition	arsenic	193
2/26/2018	ground cloves	baker's select	arsenic	54.8
2/27/2018	himalayan pink salt	sophia	arsenic	30.9
3/1/2018	ground cumin	ken's own	arsenic	80.6
3/12/2018	jamaican curry	mimi's products	arsenic	110
3/12/2018	ground cumin	mimi's products	arsenic	141
3/9/2018	ground tumeric	mimi's products	arsenic	32.6
3/9/2018	ground cumin	mimi's products	arsenic	612
3/12/2018	turmeric	simply organic	arsenic	43.0
3/12/2018	ground cumin	casablanca	arsenic	109
3/12/2018	turmeric powder	casablanca	arsenic	31.3
3/12/2018	ground cumin	picante foods	arsenic	88.0
3/12/2018	curry powder	mi costenita	arsenic	80.7
3/12/2018	roasted chili powder	gusto	arsenic	23.1
3/12/2018	turmeric ground	three rivers	arsenic	249.0
3/12/2018	cummin powder	three rivers	arsenic	489.0
3/12/2018	chili powder	none	arsenic	44.7
3/12/2018	turmeric powder	siam	arsenic	145.0
3/12/2018	madras curry powder	cariniando	arsenic	174.0
3/12/2018	cumin powder	swad	arsenic	69.3
3/12/2018	madras curry powder	swad	arsenic	43.5
3/12/2018	cumin powder	radhuni	arsenic	81.9
3/12/2018	curry powder	radhuni	arsenic	117.0
3/12/2018	turmeric powder	radhuni	arsenic	46.4
3/12/2018	curry powder	maya	arsenic	77.6
3/12/2018	ground cumin	angel	arsenic	129.0
3/12/2018	turmeric powder	swad	arsenic	41.4
3/12/2018	tumeric	simply organic	arsenic	43.8
3/12/2018	ground cumin	badia	arsenic	138.0
3/12/2018	cumin ground	chef's select	arsenic	133.0
3/13/2018	turmeric powder	keshav	arsenic	48.7
3/12/2018	roasted geera - ground cumin	chief	arsenic	56.3
3/12/2018	turmeric powder	dual specialty store	arsenic	34.1
3/13/2018	ground cumin	fresh finds	arsenic	132.0
3/12/2018	curry powder	maya overseas	arsenic	78.7
3/13/2018	ground turmeric	fresh finds	arsenic	56.6
3/12/2018	turmeric powder	gr	arsenic	49.2
3/13/2018	curry powder	fresh finds	arsenic	40.7
3/12/2018	cumin powder	radhuni	arsenic	74.6
3/12/2018	madras curry powder	sun brand	arsenic	19.8
3/12/2018	ground nutmeg	the spice hunter	arsenic	none
3/13/2018	organic cumin	spicely organics	arsenic	127
3/12/2018	ground hot chili pepper	nicomex	arsenic	192
3/12/2018	organic curry	spicely organics	arsenic	29.7
3/12/2018	jahshueth's jamaican curry	jamaica gold	arsenic	29.8
3/12/2018	tumeric	spice class	arsenic	42.8
3/12/2018	special madras curry	indi	arsenic	86.6
3/20/2018	cumin powder	shad	arsenic	24.7
3/20/2018	chilli powder	shad	arsenic	19.5
3/26/2018	black salt	shad	arsenic	170
3/28/2018	ground coriander	info-west indian	arsenic	29.3
3/28/2018	ground nutmeg	indo-west indian	arsenic	none
3/28/2018	ground turmeric	chief brand products	arsenic	30.1
3/28/2018	whole turmeric	indo-west indian	arsenic	31.6
3/28/2018	ground cinnamon	indo-west indian	arsenic	18.7
3/28/2018	ground cumin	los mart	arsenic	129
3/26/2018	cumin powder	radhuni	arsenic	56.2
3/28/2018	ground cinnamon	gro mex	arsenic	258
4/12/2018	turmeric	la flor	arsenic	21.5
4/17/2018	jamaican style hot curry powder	grace	arsenic	16.0
4/24/2018	adobo	goya	arsenic	43.8
4/24/2018	curry powder	badia	arsenic	139
5/1/2018	wild sesame powder	haioreum	arsenic	127
5/1/2018	curry powder	salma	arsenic	48.6
5/1/2018	turmeric powder	herb&honey	arsenic	25.6
5/1/2018	turmeric powder	salma	arsenic	14.1
5/1/2018	ginger powder	samhak	arsenic	176
5/3/2018	ground turmeric	pereg	arsenic	28.6
5/2/2018	paprika	mimi s products	arsenic	238
5/7/2018	curry powder	maya	arsenic	83.6
5/9/2018	bajan curry powder	exotica	arsenic	56.9
5/9/2018	madras curry powder	cariherb	arsenic	36.6
5/11/2018	cinnamon	simply organic	arsenic	32.2
5/11/2018	turmeric	simply organic	arsenic	17.2
5/30/2018	clove powder	ying feng foodstuffs	arsenic	174.0
5/30/2018	red chilli powder	good. suitable	arsenic	64.0
5/30/2018	five spices powder	good. suitable	arsenic	390.0
5/30/2018	cumin powder	ying feng food stuffs	arsenic	1090.0
5/9/2018	ground piquin pods	gro mex	arsenic	272.0
6/4/2018	achiote molido	grimes	arsenic	34.3
6/4/2018	ground piquin pods	la bodeguita	arsenic	43.9
6/4/2018	ground cumin	gromex	arsenic	73.9
